,horizon,mse,rmse,mae,mape,mdape,smape,coverage
110,226 days,0.28272589319022773,0.5317197506113797,0.43237785249738253,0.05030440149014206,0.04445564202022114,0.05126213889993852,0.8888888888888888
37,99 days,0.3116579794743557,0.558263360318726,0.4330124454042612,0.048640276489452815,0.03954571172756013,0.049217582590477364,0.8703703703703703
39,103 days,0.3101499946062791,0.5569111191260946,0.4359314537427626,0.04891583362127023,0.03954571172756013,0.04946838358590408,0.8518518518518519
40,104 days,0.3054400564682588,0.5526663156627684,0.43608600149206517,0.04913666408841576,0.03954571172756013,0.049226138447773946,0.8888888888888888
42,108 days,0.2912300731094962,0.5396573663997335,0.43691925736729115,0.049616453492590924,0.04227837859377527,0.049346501848786736,0.8888888888888888
43,109 days,0.30194740381877905,0.5494974102020673,0.4370345022968382,0.050057784937691474,0.04227837859377527,0.04967962260795516,0.8888888888888888
140,275 days,0.30452073515967004,0.5518339742709487,0.4380167657888362,0.050917952246553454,0.03806162056641083,0.05097336185762359,0.8518518518518519
47,115 days,0.3020041752786301,0.5495490653969217,0.4387062367531899,0.050378341549475784,0.04596694878851421,0.05005885592985667,0.8148148148148148
129,257 days,0.2889472407299258,0.5375381295591279,0.43912729097328507,0.0499661703492115,0.04193745460243445,0.05088911917415987,0.8518518518518519
67,149 days,0.32713682872608696,0.5719587648826504,0.4394527695343381,0.05094753578601515,0.04939819305261585,0.050301151972557294,0.7777777777777778
45,113 days,0.30518319410287365,0.5524338821097722,0.4416685756392709,0.05064766324829524,0.04596694878851421,0.05022943326303248,0.8518518518518519
44,111 days,0.3064313681190333,0.5535624338040229,0.4450502537783425,0.05104924020705412,0.04596694878851421,0.05063958820542847,0.8518518518518519
46,114 days,0.3066227272099185,0.5537352501059676,0.44619608306984104,0.05121647543527005,0.04596694878851421,0.0508700669067743,0.8148148148148148
62,140 days,0.2886889918781551,0.5372978614122292,0.4484433370059929,0.052161808887630806,0.050843170677697405,0.05170711428221221,0.7407407407407407
128,255 days,0.31442703337927125,0.5607379364545182,0.4514114146115273,0.05147103351657233,0.04193745460243445,0.052697164969468385,0.8518518518518519
147,288 days,0.3454173842488504,0.5877221998945168,0.4524038903760858,0.05292138167993579,0.03806162056641083,0.0527673122964817,0.8888888888888888
124,249 days,0.2987838289098597,0.5466112228173327,0.4533469994963334,0.05188790084295105,0.043711537639691586,0.05279801862883735,0.8148148148148148
48,116 days,0.3118034248378421,0.5583936110288531,0.4549895562022978,0.05204683043092537,0.047324604901044204,0.05178158121298638,0.7777777777777778
49,119 days,0.3190936294509478,0.5648837309136703,0.4565020662107704,0.05233222229492572,0.04769800467305654,0.05190203884062577,0.7777777777777778
126,253 days,0.3243983802734322,0.5695598127268393,0.4582766357072887,0.05225799428675572,0.043084425544323665,0.05360514176319625,0.8148148148148148
50,120 days,0.32015389389116844,0.5658214328665612,0.46100261927491787,0.053071247125281676,0.04769800467305654,0.05255220316384603,0.7777777777777778
142,279 days,0.33473651838359175,0.5785641869175725,0.46347458427848304,0.053936277929536196,0.04180902295085008,0.054120260384714666,0.8888888888888888
127,254 days,0.32578793290622315,0.5707783570758646,0.46378475594511426,0.052834863034936536,0.043084425544323665,0.054173189792296836,0.8148148148148148
141,278 days,0.34168387236341113,0.584537314774182,0.465734903209772,0.05453256409807223,0.03806162056641083,0.054530991847228934,0.8703703703703703
52,124 days,0.32910960988317145,0.5736807560683654,0.4689397101794025,0.05401489002516965,0.04798522360746835,0.05337616162061676,0.7407407407407407
143,280 days,0.3455558286197239,0.5878399685456271,0.4697697982745525,0.054564933874708545,0.04180902295085008,0.05481358255683369,0.8518518518518519
150,293 days,0.3644613800952027,0.6037063691027308,0.4721776783618055,0.05549133464930364,0.04001175049549654,0.05518635643393642,0.8518518518518519
148,289 days,0.36536888557558894,0.6044575134578021,0.4740702951885623,0.05563547554634784,0.04001175049549654,0.055328466496123434,0.8888888888888888
51,121 days,0.3310799904181798,0.5753955078189087,0.47433669010925245,0.054628010866902735,0.04798522360746835,0.053969187501874745,0.7407407407407407
152,295 days,0.36930891766431495,0.6077079213440573,0.47465302620504396,0.055752941685302655,0.04180902295085008,0.05552972864967159,0.8518518518518519
125,252 days,0.33732887565064235,0.5808002028672531,0.47501274433365076,0.054299547222512894,0.043711537639691586,0.05561647566813669,0.8148148148148148
168,321 days,0.3838519053539051,0.6195578305161715,0.47647983338336225,0.05534172381296894,0.04598592307863569,0.055751440361402664,0.8148148148148148
149,291 days,0.3705620747423677,0.6087381002881023,0.48084174344737773,0.05650872634344098,0.04180902295085008,0.056164158348067,0.8518518518518519
151,294 days,0.37107725212781684,0.6091611052322832,0.48173075515678615,0.05658309014359431,0.04180902295085008,0.05634757572220745,0.8518518518518519
54,128 days,0.3358502112665366,0.5795258503867938,0.48228241643898534,0.05570670232415146,0.051142211184283366,0.05525901849136316,0.7777777777777778
61,138 days,0.32558585675453383,0.5706013115604747,0.484193118275532,0.056123412153097914,0.054130400200208637,0.05547611244583829,0.7407407407407407
60,136 days,0.3259073519335829,0.5708829581740752,0.48437715245671575,0.05621509738074299,0.054130400200208637,0.05556589215724645,0.7407407407407407
55,129 days,0.33701285530810166,0.5805280831347452,0.4862079136054011,0.056201824864870534,0.051142211184283366,0.055763415847461584,0.7777777777777778
146,286 days,0.3952122988266911,0.6286591276889973,0.4867400495869817,0.0569729805479909,0.04001175049549654,0.057217607168190035,0.8888888888888888
145,284 days,0.3961445889587627,0.6294001818865027,0.4868746792328556,0.05660123193993586,0.04001175049549654,0.05720698448942102,0.8703703703703703
169,323 days,0.3931261850632062,0.6269977552297984,0.48770483138861465,0.056569490468508614,0.054870086193784605,0.05692479574972684,0.8148148148148148
59,135 days,0.3306777184642021,0.575045840315537,0.48912472445042005,0.05664319755540075,0.05432551673888723,0.05611510982953815,0.7407407407407407
170,325 days,0.39152921616814534,0.6257229548035979,0.4891546038108234,0.05664458380396907,0.05627246695457708,0.05714259611249002,0.8148148148148148
171,326 days,0.3959923542749428,0.6292792339454265,0.49351569109911775,0.056941578553407944,0.054870086193784605,0.05773758611539955,0.8518518518518519
53,125 days,0.3570784979254369,0.5975604554565478,0.497785159812096,0.05747055970919663,0.051142211184283366,0.056889055651574656,0.7592592592592593
153,296 days,0.38770717833036794,0.6226613673019773,0.5007001646651942,0.058460144360288915,0.049679254780776734,0.05834011906298648,0.8148148148148148
154,299 days,0.38878342892267975,0.6235250026443846,0.5039888855664083,0.05888265736320241,0.049679254780776734,0.05869344356330914,0.8148148148148148
186,352 days,0.422845794152436,0.6502659410982833,0.5048743552464194,0.05862757749536807,0.05235800326751714,0.05893798764638345,0.9259259259259259
